"","Date","Region","Thermal.Generation.Actual..in.MU.","Hydro.Generation.Actual..in.MU."
"1",2017-09-01,"Northern",624.23,273.27
"2",2017-09-01,"Western",1106.89,72
"3",2017-09-01,"Southern",576.66,111.57
"4",2017-09-01,"Eastern",441.02,85.94
"5",2017-09-01,"NorthEastern",29.11,24.64
"6",2017-09-02,"Northern",624.23,273.27
"7",2017-09-02,"Western",1106.89,72
"8",2017-09-02,"Southern",576.66,111.57
"9",2017-09-02,"Eastern",441.02,85.94
"10",2017-09-02,"NorthEastern",29.11,24.64
"11",2017-09-03,"Northern",624.23,273.27
"12",2017-09-03,"Western",1106.89,72
"13",2017-09-03,"Southern",572.16,111.57
"14",2017-09-03,"Eastern",445.38,85.94
"15",2017-09-03,"NorthEastern",29.11,24.64
"16",2017-09-04,"Northern",624.23,273.27
"17",2017-09-04,"Western",1106.89,72
"18",2017-09-04,"Southern",572.16,111.57
"19",2017-09-04,"Eastern",445.38,85.94
"20",2017-09-04,"NorthEastern",29.11,24.64
"21",2017-09-05,"Northern",628.58,273.27
"22",2017-09-05,"Western",1106.89,72
"23",2017-09-05,"Southern",576.35,111.57
"24",2017-09-05,"Eastern",449.92,85.94
"25",2017-09-05,"NorthEastern",29.11,24.64
"26",2017-09-06,"Northern",628.58,273.27
"27",2017-09-06,"Western",1124.57,72
"28",2017-09-06,"Southern",576.35,111.57
"29",2017-09-06,"Eastern",449.92,85.94
"30",2017-09-06,"NorthEastern",29.11,24.64
"31",2017-09-07,"Northern",628.48,273.27
"32",2017-09-07,"Western",1124.57,72
"33",2017-09-07,"Southern",585.98,111.57
"34",2017-09-07,"Eastern",449.92,85.94
"35",2017-09-07,"NorthEastern",29.11,24.64
"36",2017-09-08,"Northern",628.48,273.27
"37",2017-09-08,"Western",1124.57,72
"38",2017-09-08,"Southern",590.63,111.57
"39",2017-09-08,"Eastern",455.66,85.94
"40",2017-09-08,"NorthEastern",29.11,24.64
"41",2017-09-09,"Northern",631.16,273.27
"42",2017-09-09,"Western",1128.66,72
"43",2017-09-09,"Southern",589.74,111.57
"44",2017-09-09,"Eastern",455.66,85.94
"45",2017-09-09,"NorthEastern",29.11,24.64
"46",2017-09-10,"Northern",620.05,273.27
"47",2017-09-10,"Western",1131.56,72
"48",2017-09-10,"Southern",589.74,111.57
"49",2017-09-10,"Eastern",455.66,85.94
"50",2017-09-10,"NorthEastern",29.11,24.64
"51",2017-09-11,"Northern",623.3,273.27
"52",2017-09-11,"Western",1131.56,72
"53",2017-09-11,"Southern",589.74,111.57
"54",2017-09-11,"Eastern",455.66,85.94
"55",2017-09-11,"NorthEastern",29.11,24.64
"56",2017-09-12,"Northern",623.3,273.27
"57",2017-09-12,"Western",1131.56,72
"58",2017-09-12,"Southern",589.74,111.57
"59",2017-09-12,"Eastern",455.66,85.94
"60",2017-09-12,"NorthEastern",29.11,24.64
"61",2017-09-13,"Northern",628.08,273.27
"62",2017-09-13,"Western",1131.56,72
"63",2017-09-13,"Southern",589.74,111.57
"64",2017-09-13,"Eastern",455.66,85.94
"65",2017-09-13,"NorthEastern",29.11,24.64
"66",2017-09-14,"Northern",628.08,273.27
"67",2017-09-14,"Western",1131.56,72
"68",2017-09-14,"Southern",595.15,111.57
"69",2017-09-14,"Eastern",455.66,85.94
"70",2017-09-14,"NorthEastern",29.11,24.64
"71",2017-09-15,"Northern",628.08,273.27
"72",2017-09-15,"Western",1131.56,72
"73",2017-09-15,"Southern",593.08,111.57
"74",2017-09-15,"Eastern",484.74,85.94
"75",2017-09-15,"NorthEastern",29.11,24.64
"76",2017-09-16,"Northern",628.08,273.27
"77",2017-09-16,"Western",1131.56,72
"78",2017-09-16,"Southern",604.96,111.57
"79",2017-09-16,"Eastern",486.07,85.94
"80",2017-09-16,"NorthEastern",29.11,24.64
"81",2017-09-17,"Northern",628.08,273.27
"82",2017-09-17,"Western",1131.56,72
"83",2017-09-17,"Southern",596.08,111.57
"84",2017-09-17,"Eastern",486.07,85.94
"85",2017-09-17,"NorthEastern",29.11,24.64
"86",2017-09-18,"Northern",628.08,273.27
"87",2017-09-18,"Western",1131.56,72
"88",2017-09-18,"Southern",596.08,111.57
"89",2017-09-18,"Eastern",486.07,85.94
